Detection_ID,Image,Class,YOLO_Conf,Evidence_Score,Discrepancy_Delta,Priority_Score,Priority_Tier,Scan_Rank,Global_Fusion_Rank,Global_YOLO_Rank,Rank_Delta,Is_True_Positive,Matched_IoU,Triage_Rationale
128,000015_jpg.rf.47c73e8904dd302e7cefbacfb9d2f52d.jpg,wreck,64.31,64.4,0.0,43.4,DEFERRED_INSPECTION,2,128,89,-39,0,0.0,Lower-priority static wreck candidate.
129,000227_jpg.rf.41d22509c106693d9d28e1a98e9792cd.jpg,wreck,65.87,62.8,0.0,43.4,DEFERRED_INSPECTION,1,129,86,-43,1,0.9609,Lower-priority static wreck candidate.
130,000497_jpg.rf.c3202ba2b447990c47e46a96310ab07f.jpg,wreck,73.39,55.0,0.0,43.3,DEFERRED_INSPECTION,2,130,77,-53,0,0.3986,Lower-priority static wreck candidate.
131,000455_jpg.rf.81a219a06f62a65eb7eecbde1ada7f41.jpg,wreck,72.49,55.4,0.0,43.2,DEFERRED_INSPECTION,2,131,78,-53,1,0.8988,Lower-priority static wreck candidate.
132,000161_jpg.rf.f706f74d6d2aa80f8efb67822b6c8a45.jpg,mine,28.78,54.0,0.0,42.8,DEFERRED_INSPECTION,10,132,147,15,0,0.0,Low acoustic contrast return; deferred to secondary review.
133,000123_jpg.rf.2ed0ee5490c8a919344ab2ab0ce3e21f.jpg,wreck,40.58,84.8,0.0,42.3,DEFERRED_INSPECTION,7,133,120,-13,0,0.0,Lower-priority static wreck candidate.
134,000024_jpg.rf.1b115b87803c433f853eeecee0df58b4.jpg,airplane,38.68,65.0,0.0,42.0,DEFERRED_INSPECTION,1,134,123,-11,1,0.8586,Low acoustic contrast return; deferred to secondary review.
135,000127_jpg.rf.1e061ca5f3a258bb1733fcd90b8ab808.jpg,drowning victim,27.94,56.8,0.0,41.9,DEFERRED_INSPECTION,2,135,151,16,0,0.0,Low acoustic contrast return; deferred to secondary review.
136,000430_jpg.rf.48251e967569c2383b1f3c6f485fd17e.jpg,wreck,53.67,68.9,0.0,41.4,DEFERRED_INSPECTION,1,136,107,-29,1,0.8416,Lower-priority static wreck candidate.
137,000600_jpg.rf.e8e7520e63acab1ccabc8ec818f77b24.jpg,wreck,57.29,65.3,0.0,41.4,DEFERRED_INSPECTION,1,137,99,-38,1,0.8219,Lower-priority static wreck candidate.
138,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,29.76,53.3,0.0,41.1,DEFERRED_INSPECTION,5,138,141,3,0,0.3508,Low acoustic contrast return; deferred to secondary review.
139,000189_jpg.rf.f459bd5eba94804d42ecea439cf8d499.jpg,drowning victim,28.56,53.8,0.0,40.8,DEFERRED_INSPECTION,6,139,150,11,1,0.6914,Low acoustic contrast return; deferred to secondary review.
140,000366_jpg.rf.0a19870ba7f8cf891b2deca3d2390cc9.jpg,wreck,61.64,58.6,0.0,40.6,DEFERRED_INSPECTION,1,140,93,-47,1,0.7489,Lower-priority static wreck candidate.
141,000223_jpg.rf.95e0ec548d18197681a02d70459372c1.jpg,wreck,63.62,56.3,0.0,40.5,DEFERRED_INSPECTION,1,141,90,-51,0,0.0,Lower-priority static wreck candidate.
142,000264_jpg.rf.942a25d02a8be2cbc0b84911e54f095d.jpg,wreck,55.15,64.3,0.0,40.3,DEFERRED_INSPECTION,1,142,103,-39,1,0.6199,Lower-priority static wreck candidate.
143,000046_jpg.rf.4023dcae9c4e27e34f6be32dfa2ecd53.jpg,wreck,49.29,69.6,0.0,40.1,DEFERRED_INSPECTION,2,143,113,-30,0,0.0,Lower-priority static wreck candidate.
144,000415_jpg.rf.7305a63d3c24ac1a496ae36227ed9e00.jpg,airplane,31.84,63.6,0.0,38.7,DEFERRED_INSPECTION,1,144,135,-9,0,0.0,Low acoustic contrast return; deferred to secondary review.
145,000210_jpg.rf.5f7d19f92fda44a24cad3a0e2ccb4a60.jpg,wreck,35.16,74.6,0.0,37.0,DEFERRED_INSPECTION,2,145,131,-14,0,0.0,Lower-priority static wreck candidate.
146,000223_jpg.rf.95e0ec548d18197681a02d70459372c1.jpg,wreck,53.7,53.1,0.0,36.0,DEFERRED_INSPECTION,2,146,106,-40,0,0.0,Lower-priority static wreck candidate.
147,000224_jpg.rf.6e758ef803334b456717a5c7179cb495.jpg,wreck,55.35,50.8,0.0,35.8,DEFERRED_INSPECTION,1,147,102,-45,0,0.0,Lower-priority static wreck candidate.
148,000605_jpg.rf.e608301ba4b6029dfbad4677394a6d32.jpg,wreck,30.99,73.4,0.0,35.2,DEFERRED_INSPECTION,2,148,137,-11,1,0.8344,Lower-priority static wreck candidate.
149,000228_jpg.rf.8c49d94c4ea3f623d11a225179108cb6.jpg,wreck,39.01,65.1,0.0,35.1,DEFERRED_INSPECTION,2,149,122,-27,0,0.3737,Lower-priority static wreck candidate.
150,000041_jpg.rf.cdc982398ad34aea28aa660cd2ac6ed0.jpg,wreck,49.84,51.7,0.0,34.3,DEFERRED_INSPECTION,1,150,112,-38,0,0.0,Lower-priority static wreck candidate.
151,000145_jpg.rf.d5863ccdecf27e69ec3453253d315b6f.jpg,wreck,37.2,61.5,0.0,33.3,DEFERRED_INSPECTION,1,151,128,-23,0,0.0,Lower-priority static wreck candidate.
152,000041_jpg.rf.cdc982398ad34aea28aa660cd2ac6ed0.jpg,airplane,30.17,51.5,0.0,33.1,DEFERRED_INSPECTION,2,152,140,-12,1,0.8274,Low acoustic contrast return; deferred to secondary review.
153,000217_jpg.rf.e225abe6b0909a6ec4ec1a77ab574824.jpg,wreck,30.19,64.6,0.0,32.0,DEFERRED_INSPECTION,1,153,138,-15,0,0.0,Lower-priority static wreck candidate.
154,000191_jpg.rf.f23ce80a51c5df21c6060cb392ef5689.jpg,wreck,28.96,65.7,0.0,31.9,DEFERRED_INSPECTION,1,154,145,-9,0,0.0,Lower-priority static wreck candidate.
155,000274_jpg.rf.b0f93bf584121dc6066498a461220741.jpg,wreck,32.29,59.9,0.0,31.1,DEFERRED_INSPECTION,1,155,134,-21,1,0.5701,Lower-priority static wreck candidate.
156,000195_jpg.rf.b280fec115dfc1da02be96163582b72f.jpg,wreck,29.23,62.4,0.0,30.9,DEFERRED_INSPECTION,1,156,142,-14,0,0.0,Lower-priority static wreck candidate.
157,000224_jpg.rf.6e758ef803334b456717a5c7179cb495.jpg,wreck,41.13,47.9,0.0,30.0,DEFERRED_INSPECTION,2,157,119,-38,0,0.0,Lower-priority static wreck candidate.
158,000124_jpg.rf.13a44339a12e0b1c13c9f03ff78ef9bb.jpg,wreck,30.18,52.2,0.0,27.8,DEFERRED_INSPECTION,11,158,139,-19,0,0.0,Lower-priority static wreck candidate.
